Sample Number (10000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),xg (g),yg (g),zg (g)
416,1620295611696,-0.03,-0.553,-0.54
417,1620295611696,0.01,-0.564,-0.576
418,1620295611696,-0.13,-0.553,-0.532
419,1620295611696,-0.01,-0.537,-0.57
420,1620295611696,0.01,-0.589,-0.573
421,1620295611696,-0.06,-0.56,-0.535
422,1620295611696,-0.01,-0.545,-0.571
423,1620295611696,-0.06,-0.567,-0.544
424,1620295611696,-0.09,-0.525,-0.551
425,1620295611696,0.0,-0.584,-0.585
426,1620295611696,-0.05,-0.567,-0.544
427,1620295611696,-0.04,-0.547,-0.577
428,1620295611696,-0.02,-0.571,-0.552
429,1620295611696,-0.1,-0.53,-0.538
430,1620295611696,0.03,-0.571,-0.586
431,1620295611696,-0.07,-0.569,-0.556
432,1620295611696,-0.02,-0.549,-0.582
433,1620295611696,-0.03,-0.576,-0.553
434,1620295611696,-0.1,-0.54,-0.528
435,1620295611696,0.03,-0.545,-0.581
436,1620295611696,-0.01,-0.588,-0.561
437,1620295611696,-0.01,-0.551,-0.568
438,1620295611696,-0.03,-0.581,-0.572
439,1620295611699,-0.1,-0.55,-0.525
440,1620295611699,-0.01,-0.54,-0.572
441,1620295611699,-0.02,-0.575,-0.555
442,1620295611699,-0.02,-0.532,-0.556
443,1620295611699,0.03,-0.588,-0.591
444,1620295611699,-0.1,-0.56,-0.527
445,1620295611700,-0.06,-0.535,-0.571
446,1620295611700,0.0,-0.579,-0.55
447,1620295611700,-0.04,-0.55,-0.545
448,1620295611700,0.07,-0.581,-0.595
449,1620295611700,-0.07,-0.566,-0.547
450,1620295611700,-0.1,-0.525,-0.55
451,1620295611700,-0.02,-0.567,-0.567
452,1620295611700,-0.03,-0.548,-0.544
453,1620295611700,0.07,-0.566,-0.593
454,1620295611700,0.0,-0.585,-0.567
455,1620295611700,-0.12,-0.526,-0.545
456,1620295611700,0.01,-0.56,-0.572
457,1620295611700,-0.09,-0.559,-0.55
458,1620295611700,0.0,-0.55,-0.579
459,1620295611700,-0.04,-0.581,-0.554
460,1620295611700,-0.1,-0.521,-0.502
461,1620295611700,0.01,-0.502,-0.55
462,1620295611700,-0.01,-0.577,-0.566
463,1620295611700,-0.02,-0.548,-0.565
464,1620295611700,-0.01,-0.58,-0.577
465,1620295611700,-0.1,-0.553,-0.523
466,1620295611701,-0.02,-0.543,-0.568
467,1620295611701,0.0,-0.576,-0.557
468,1620295611701,-0.04,-0.553,-0.555
469,1620295611701,0.06,-0.581,-0.593
470,1620295611701,-0.12,-0.55,-0.533
471,1620295611701,-0.07,-0.524,-0.559
472,1620295611701,-0.01,-0.575,-0.565
473,1620295611701,-0.04,-0.557,-0.55
474,1620295611701,0.08,-0.575,-0.586
475,1620295611701,-0.07,-0.574,-0.552
